VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee,PU_Borough,PU_Zone,PU_service_zone,DO_Borough,DO_Zone,DO_service_zone
1,2025-06-01 00:38:33,2025-06-01 00:46:12,2,1.2,1,N,249,90,1,9.3,4.25,0.5,3.0,0.0,1.0,18.05,2.5,0.0,0.75,Manhattan,West Village,Yellow Zone,Manhattan,Flatiron,Yellow Zone
2,2025-06-01 00:04:13,2025-06-01 00:09:55,2,0.68,1,N,79,79,1,7.2,1.0,0.5,1.3,0.0,1.0,14.25,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Manhattan,East Village,Yellow Zone
2,2025-06-01 00:11:24,2025-06-01 00:29:54,1,3.88,1,N,79,50,1,20.5,1.0,0.5,6.0,0.0,1.0,32.25,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Manhattan,Clinton West,Yellow Zone
2,2025-06-01 00:01:43,2025-06-01 00:09:40,1,0.87,1,N,43,143,2,9.3,1.0,0.5,0.0,0.0,1.0,15.05,2.5,0.0,0.75,Manhattan,Central Park,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone
1,2025-06-01 00:21:15,2025-06-01 00:29:45,1,1.9,1,N,263,143,1,11.4,3.5,0.5,3.25,0.0,1.0,19.65,2.5,0.0,0.0,Manhattan,Yorkville West,Yellow Zone,Manhattan,Lincoln Square West,Yellow Zone
1,2025-06-01 00:40:33,2025-06-01 00:48:15,1,1.9,1,N,239,236,1,11.4,3.5,0.5,2.0,0.0,1.0,18.4,2.5,0.0,0.0,Manhattan,Upper West Side South,Yellow Zone,Manhattan,Upper East Side North,Yellow Zone
2,2025-06-01 00:28:38,2025-06-01 00:35:21,1,1.02,1,N,113,234,1,8.6,1.0,0.5,2.87,0.0,1.0,17.22,2.5,0.0,0.75,Manhattan,Greenwich Village North,Yellow Zone,Manhattan,Union Sq,Yellow Zone
2,2025-06-01 00:56:22,2025-06-01 01:13:16,1,1.93,1,N,158,114,1,16.3,1.0,0.5,4.41,0.0,1.0,26.46,2.5,0.0,0.75,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Greenwich Village South,Yellow Zone
1,2025-06-01 00:13:09,2025-06-01 00:17:20,1,0.9,1,N,125,231,1,6.5,4.25,0.5,2.45,0.0,1.0,14.7,2.5,0.0,0.75,Manhattan,Hudson Sq,Yellow Zone,Manhattan,TriBeCa/Civic Center,Yellow Zone
1,2025-06-01 00:21:27,2025-06-01 00:26:43,2,0.7,1,N,125,249,1,7.2,4.25,0.5,2.0,0.0,1.0,14.95,2.5,0.0,0.75,Manhattan,Hudson Sq,Yellow Zone,Manhattan,West Village,Yellow Zone
1,2025-06-01 00:31:41,2025-06-01 00:42:08,1,1.7,1,N,249,170,1,12.1,4.25,0.5,3.55,0.0,1.0,21.4,2.5,0.0,0.75,Manhattan,West Village,Yellow Zone,Manhattan,Murray Hill,Yellow Zone
2,2025-06-01 00:02:48,2025-06-01 00:13:38,2,1.17,1,N,186,164,1,11.4,1.0,0.5,3.43,0.0,1.0,20.58,2.5,0.0,0.75,Manhattan,Penn Station/Madison Sq West,Yellow Zone,Manhattan,Midtown South,Yellow Zone
2,2025-06-01 00:25:34,2025-06-01 00:32:46,2,1.03,1,N,90,158,1,8.6,1.0,0.5,0.0,0.0,1.0,14.35,2.5,0.0,0.75,Manhattan,Flatiron,Yellow Zone,Manhattan,Meatpacking/West Village West,Yellow Zone
2,2025-06-01 00:35:03,2025-06-01 00:51:49,2,2.15,1,N,158,79,1,15.6,1.0,0.5,2.14,0.0,1.0,23.49,2.5,0.0,0.75,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,East Village,Yellow Zone
1,2025-06-01 00:47:46,2025-06-01 00:51:22,1,1.0,1,N,170,237,1,6.5,4.25,0.5,3.7,0.0,1.0,15.95,2.5,0.0,0.75,Manhattan,Murray Hill,Yellow Zone,Manhattan,Upper East Side South,Yellow Zone
2,2025-06-01 00:34:43,2025-06-01 00:38:57,1,1.2,1,N,158,68,1,7.2,1.0,0.5,2.59,0.0,1.0,15.54,2.5,0.0,0.75,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,East Chelsea,Yellow Zone
2,2025-06-01 00:15:28,2025-06-01 00:20:26,1,0.85,1,N,148,79,1,7.2,1.0,0.5,0.0,0.0,1.0,12.95,2.5,0.0,0.75,Manhattan,Lower East Side,Yellow Zone,Manhattan,East Village,Yellow Zone
2,2025-06-01 00:34:57,2025-06-01 00:47:29,2,1.67,1,N,79,170,1,12.8,1.0,0.5,3.71,0.0,1.0,22.26,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Manhattan,Murray Hill,Yellow Zone
2,2025-06-01 00:16:02,2025-06-01 00:23:50,2,1.13,1,N,230,246,1,9.3,1.0,0.5,3.01,0.0,1.0,18.06,2.5,0.0,0.75,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,West Chelsea/Hudson Yards,Yellow Zone
2,2025-06-01 00:30:35,2025-06-01 00:42:14,2,2.17,1,N,50,164,2,13.5,1.0,0.5,0.0,0.0,1.0,19.25,2.5,0.0,0.75,Manhattan,Clinton West,Yellow Zone,Manhattan,Midtown South,Yellow Zone
1,2025-06-01 00:17:52,2025-06-01 00:47:53,1,6.7,1,N,230,161,1,31.7,4.25,0.5,7.5,0.0,1.0,44.95,2.5,0.0,0.75,Manhattan,Times Sq/Theatre District,Yellow Zone,Manhattan,Midtown Center,Yellow Zone
1,2025-06-01 00:58:39,2025-06-01 01:16:22,1,1.4,1,N,163,100,1,14.9,4.25,0.5,5.15,0.0,1.0,25.8,2.5,0.0,0.75,Manhattan,Midtown North,Yellow Zone,Manhattan,Garment District,Yellow Zone
2,2025-06-01 00:11:27,2025-06-01 00:21:19,1,1.04,1,N,144,79,1,10.7,1.0,0.5,1.0,0.0,1.0,17.45,2.5,0.0,0.75,Manhattan,Little Italy/NoLiTa,Yellow Zone,Manhattan,East Village,Yellow Zone
2,2025-06-01 00:22:05,2025-06-01 00:30:50,1,1.51,1,N,79,107,1,10.0,1.0,0.5,2.0,0.0,1.0,17.75,2.5,0.0,0.75,Manhattan,East Village,Yellow Zone,Manhattan,Gramercy,Yellow Zone
2,2025-06-01 00:44:49,2025-06-01 00:50:54,1,1.12,1,N,158,90,1,7.9,1.0,0.5,0.0,0.0,1.0,13.65,2.5,0.0,0.75,Manhattan,Meatpacking/West Village West,Yellow Zone,Manhattan,Flatiron,Yellow Zone
2,2025-06-01 00:52:40,2025-06-01 00:58:39,2,0.76,1,N,90,107,1,7.2,1.0,0.5,2.59,0.0,1.0,15.54,2.5,0.0,0.75,Manhattan,Flatiron,Yellow Zone,Manhattan,Gramercy,Yellow Zone
7,2025-06-01 00:06:10,2025-06-01 00:06:10,1,1.45,1,N,238,41,2,10.0,0.0,0.5,0.0,0.0,1.0,15.0,2.5,0.0,0.0,Manhattan,Upper West Side North,Yellow Zone,Manhattan,Central Harlem,Boro Zone
